,BRIMNES_329_22,FLEKKE_399_,FYRESDAL_299_,HEMNES_409_24,TARVA_119_,UTKER_299_,UTKER_299_,UTKER_299_,
100001,0,1,1,1,1,NaN,,,1
100027,0,,,,1,NaN,,,1
100049,1,1,,,,NaN,,,1
100089,0,,,,1,NaN,,,1
100211,0,,,,8,NaN,,,1
100347,0,24,,36,,NaN,,,1
100359,4,4,,,,NaN,,,1
100365,12,,,,,NaN,,,1
100372,10,4,,,,NaN,,,1
100514,0,,,,10,NaN,,,1
101345,32,8,,,,NaN,,,1
101350,0,24,,34,6,NaN,,,1
101352,0,,,,,14,,,1
_101359,4,,,,46,Nan,,,1
_101367,0,8,,,,Nan,,,1
_102138,6,,,,,Nan,,,1
_103114,0,,,24,,Nan,,,1
_103430,0,,,16,,Nan,,,1
_104012,0,,,17,,Nan,,,1
_104875,0,,,,4,Nan,,,1
_105163,2,,,,,Nan,,,1
_105236,0,,,4,4,Nan,,,1
_105307,0,58,,,19,Nan,,,1
105330,0,,,,6,Nan,,,1
106698,0,4,,,,Nan,,,1
107091,0,2,,,,Nan,,,1
108458,0,,,,,4,,,1
108490,1,,,,2,1,,,1
108903,0,,,4,,Nan,,,1
109048,0,,,,6,Nan,,,1
109049,0,16,,16,,Nan,,,1
109060,0,,,4,35,Nan,,,1
109542,6,,,,,Nan,,,1
109567,16,,,,,Nan,,,1
110525,32,30,,32,14,Nan,,,1
110630,0,16,,,,Nan,,,1
110646,6,,,,,Nan,,,1
111401,6,8,,8,,Nan,,,1
111451,0,,,,2,Nan,,,1
111631,0,,1,,,Nan,,,1
112975,3,,,,,Nan,,,1
112977,1,1,,,,Nan,,,1
113453,0,1,,,,Nan,,,1
114670,4,8,,,,Nan,,,1
114671,4,,,,,Nan,,,1
115348,0,,,,6,10,,,1
115349,0,,,,6,10,,,1
116894,54,,,50,,Nan,,,1
117229,0,,2,,,Nan,,,1
117494,0,,,,,8,,,1
117615,0,,,3,,Nan,,,1
118231,2,,,,,Nan,,,1
118301,2,,,,,Nan,,,1
119976,0,,,3,,Nan,,,1
120030,0,2,,,,Nan,,,1
122628,4,,,,,Nan,,,1
122898,0,,20,,,Nan,,,1
123660,2,2,,2,2,Nan,,,1
128605,0,,,,4,Nan,,,1
128780,0,,,,8,Nan,,,1
128874,0,,2,,,Nan,,,1
130485,2,2,,2,,Nan,,,1
130787,0,5,,,,Nan,,,1
131182,0,,3,,,Nan,,,1
139430,0,8,,,,Nan,,,1
139505,0,2,,3,,Nan,,,1
146767,0,,8,,,Nan,,,1
146865,0,,37,,,Nan,,,1
146967,0,,2,,,Nan,,,1
151641,0,,,,1,Nan,,,1
152746,0,,,,2,Nan,,,1
153552,0,,,4,9,Nan,,,1
100215/105251,0,3,,,,Nan,,,1
100602/117056,2,,,,,Nan,,,1
110519/118149,8,8,,,,Nan,,,1
118331/112996,22,24,,40,,Nan,,,1
119030/118224/117434,22,8,,,,Nan,,,1
124328/128763,2,,,,,Nan,,,1
